Matrix Size,GPU Time (ms),CPU Time (ms),GPU With Data Transfer Time Accounted (ms)
100,3.298144,3.000000,3.395584
100,3.328320,3.000000,3.436512
100,3.329728,3.000000,3.423712
100,3.313152,3.000000,3.356512
100,3.322432,3.000000,3.597984
100,3.422208,3.000000,3.373792
100,3.364000,3.000000,3.416768
100,3.371808,3.000000,3.381824
100,3.363200,4.000000,3.391136
100,3.329248,3.000000,3.535392
250,50.359390,46.000000,50.720768
250,50.495968,59.000000,50.679169
250,50.400127,49.000000,50.683903
250,50.555614,49.000000,50.812927
250,50.619553,46.000000,50.546688
250,50.741089,51.000000,50.714207
250,50.370335,56.000000,50.812832
250,50.699169,47.000000,50.746910
250,50.828960,49.000000,50.743298
250,50.469280,46.000000,50.876415
500,423.566162,376.000000,443.232269
500,427.322815,382.000000,428.251160
500,441.354034,390.000000,428.457153
1000,3275.376953,3275.000000,3317.580811
1000,3299.591797,3293.000000,3299.031982
1000,3316.208252,3300.000000,3316.972412
1500,11045.660156,13161.000000,11075.227539
1500,11088.923828,12502.000000,11045.513672
1500,11085.029297,12502.000000,10989.243164
