Matrix Size,Data Transfer Time
100,0.026880
100,0.026432
100,0.026624
100,0.028096
100,0.028672
100,0.026432
100,0.029152
100,0.026432
100,0.028672
100,0.032512
250,0.203424
250,0.202400
250,0.206272
250,0.215168
250,0.205536
250,0.204160
250,0.206080
250,0.259712
250,0.212032
250,0.226400
500,0.796352
500,0.714208
500,0.719744
500,0.688192
500,0.704512
500,0.718944
500,0.699392
500,0.714080
500,0.684768
500,0.747744
1000,2.705216
1000,2.838208
1000,3.053344
1000,2.785696
1000,2.955136
1000,2.737984
1000,2.853856
1000,3.076672
1000,2.848512
1000,2.901568
1500,6.055904
1500,6.219840
1500,6.076928
1500,6.461600
1500,6.502880
1500,6.309440
1500,6.435264
1500,6.164160
1500,6.219936
1500,6.464480
